Position,Track Name,Artist,Streams,date,region,spotify_id
1,Blinding Lights,The Weeknd,43653241,2020-02-21--2020-02-28,global,0sf12qNH5qcw8qpgymFOqD
2,Dance Monkey,Tones And I,40578037,2020-02-21--2020-02-28,global,1rgnBhdG2JDFTbYkYRZAku
3,The Box,Roddy Ricch,39857901,2020-02-21--2020-02-28,global,0nbXyq5TXYPCO7pr3N8S4I
4,Don't Start Now,Dua Lipa,32565008,2020-02-21--2020-02-28,global,6WrI0LAC5M1Rw2MnX2ZvEg
5,Intentions (feat. Quavo),Justin Bieber,31250257,2020-02-21--2020-02-28,global,4umIPjkehX1r7uhmGvXiSV
6,Tusa,KAROL G,28807586,2020-02-21--2020-02-28,global,7k4t7uLgtOxPwTpFmtJNTY
7,After Hours,The Weeknd,27647920,2020-02-21--2020-02-28,global,4ejyZ4uJEXUURcgKp1kP8v
8,Falling,Trevor Daniel,26592499,2020-02-21--2020-02-28,global,4TnjEaWOeW0eKTKIEvJyCa
9,ROXANNE,Arizona Zervas,25517030,2020-02-21--2020-02-28,global,696DnlkuDOXcMAnKlTgXXK
10,No Time To Die,Billie Eilish,25455582,2020-02-21--2020-02-28,global,73SpzrcaHk0RQPFP73vqVR
11,Yummy,Justin Bieber,22886859,2020-02-21--2020-02-28,global,16wAOAZ2OkqoIDN7TpChjR
12,Life Is Good (feat. Drake),Future,21404894,2020-02-21--2020-02-28,global,5yY9lUy8nbvjM1Uyo1Uqoc
13,everything i wanted,Billie Eilish,21349420,2020-02-21--2020-02-28,global,3ZCTVFBt2Brf31RLEnCkWJ
14,Circles,Post Malone,20243969,2020-02-21--2020-02-28,global,21jGcNKet2qwijlDFuPiPb
15,Ignorantes,Bad Bunny,19993952,2020-02-21--2020-02-28,global,3wYRLYuO1M88d8woWUIxct
16,Someone You Loved,Lewis Capaldi,19624844,2020-02-21--2020-02-28,global,7qEHsqek33rTcFNT9PFqLf
17,Say So,Doja Cat,18761305,2020-02-21--2020-02-28,global,3Dv1eDb0MEgF93GpLXlucZ
18,Memories,Maroon 5,18651351,2020-02-21--2020-02-28,global,2b8fOow8UzyDFAE27YhOZM
19,Godzilla (feat. Juice WRLD),Eminem,18451953,2020-02-21--2020-02-28,global,7FIWs0pqAYbP91WWM0vlTQ
20,bad guy,Billie Eilish,17071583,2020-02-21--2020-02-28,global,2Fxmhks0bxGSBdJ92vM42m
21,Adore You,Harry Styles,16944169,2020-02-21--2020-02-28,global,3jjujdWJ72nww5eGnfs2E7
22,ON,BTS,16201396,2020-02-21--2020-02-28,global,2QyuXBcV1LJ2rq01KhreMF
23,Blueberry Faygo,Lil Mosey,16125794,2020-02-21--2020-02-28,global,22LAwLoDA5b4AaGSkg6bKW
24,Roses - Imanbek Remix,SAINt JHN,15484289,2020-02-21--2020-02-28,global,24Yi9hE78yPEbZ4kxyoXAI
25,Señorita,Shawn Mendes,15365133,2020-02-21--2020-02-28,global,6v3KW9xbzN5yKLt9YKDYA2
26,Before You Go,Lewis Capaldi,15135926,2020-02-21--2020-02-28,global,2gMXnyrvIjhVBUZwvLZDMP
27,RITMO (Bad Boys For Life),Black Eyed Peas,15024392,2020-02-21--2020-02-28,global,6cy3ki60hLwimwIje7tALf
28,Forever (feat. Post Malone & Clever),Justin Bieber,14839269,2020-02-21--2020-02-28,global,2ZlCGeK30BLRNSPC832pNZ
29,Sigues Con El,Dímelo Flow,14797416,2020-02-21--2020-02-28,global,7sQKy5vlPQllr0k9IjYJv3
30,You should be sad,Halsey,14673620,2020-02-21--2020-02-28,global,7lidXGPXPYLNThITAOTlkK
31,Sunday Best,Surfaces,14583382,2020-02-21--2020-02-28,global,1Cv1YLb4q0RzL6pybtaMLo
32,My Oh My (feat. DaBaby),Camila Cabello,14579871,2020-02-21--2020-02-28,global,3yOlyBJuViE2YSGn3nVE1K
33,Physical,Dua Lipa,14025576,2020-02-21--2020-02-28,global,5px6upUHM3fhOP621Edp4V
34,ON (Feat. Sia),BTS,13781757,2020-02-21--2020-02-28,global,3IB5qOeMayvpOdHxYCL5tZ
35,Lose Control,MEDUZA,12683644,2020-02-21--2020-02-28,global,7CHi4DtfK4heMlQaudCuHK
36,Morado,J Balvin,12640172,2020-02-21--2020-02-28,global,3mQ6SLdxxaL52Yte7KF2Ks
37,To Die For,Sam Smith,12400772,2020-02-21--2020-02-28,global,2ZTYlnhhV1UAReg7wIGolx
38,death bed (coffee for your head) (feat. beabadoobee),Powfu,12324048,2020-02-21--2020-02-28,global,7eJMfftS33KTjuF7lTsMCx
