Position,Track Name,Artist,Streams,date,region,spotify_id
1,Blinding Lights,The Weeknd,38959007,2020-03-13--2020-03-20,global,0sf12qNH5qcw8qpgymFOqD
2,The Box,Roddy Ricch,36721509,2020-03-13--2020-03-20,global,0nbXyq5TXYPCO7pr3N8S4I
3,Dance Monkey,Tones And I,33770756,2020-03-13--2020-03-20,global,1rgnBhdG2JDFTbYkYRZAku
4,Don't Start Now,Dua Lipa,30233523,2020-03-13--2020-03-20,global,6WrI0LAC5M1Rw2MnX2ZvEg
5,Intentions (feat. Quavo),Justin Bieber,24846055,2020-03-13--2020-03-20,global,4umIPjkehX1r7uhmGvXiSV
6,Say So,Doja Cat,24636152,2020-03-13--2020-03-20,global,3Dv1eDb0MEgF93GpLXlucZ
7,Falling,Trevor Daniel,23410869,2020-03-13--2020-03-20,global,4TnjEaWOeW0eKTKIEvJyCa
8,Tusa,KAROL G,23183142,2020-03-13--2020-03-20,global,7k4t7uLgtOxPwTpFmtJNTY
9,Safaera,Bad Bunny,22886729,2020-03-13--2020-03-20,global,2DEZmgHKAvm41k4J3R2E9Y
10,La Difícil,Bad Bunny,22423602,2020-03-13--2020-03-20,global,6NfrH0ANGmgBXyxgV2PeXt
11,ROXANNE,Arizona Zervas,22071850,2020-03-13--2020-03-20,global,696DnlkuDOXcMAnKlTgXXK
12,death bed (coffee for your head) (feat. beabadoobee),Powfu,21204677,2020-03-13--2020-03-20,global,7eJMfftS33KTjuF7lTsMCx
13,Si Veo a Tu Mamá,Bad Bunny,19948575,2020-03-13--2020-03-20,global,41wtwzCZkXwpnakmwJ239F
14,Godzilla (feat. Juice WRLD),Eminem,19896600,2020-03-13--2020-03-20,global,7FIWs0pqAYbP91WWM0vlTQ
15,Roses - Imanbek Remix,SAINt JHN,19252262,2020-03-13--2020-03-20,global,24Yi9hE78yPEbZ4kxyoXAI
16,Ignorantes,Bad Bunny,18670822,2020-03-13--2020-03-20,global,38RIEav39FGi86jppxO0du
17,Blueberry Faygo,Lil Mosey,18598886,2020-03-13--2020-03-20,global,22LAwLoDA5b4AaGSkg6bKW
