Position,Track Name,Artist,Streams,date,region,spotify_id
1,Rain On Me (with Ariana Grande),Lady Gaga,41627044,2020-05-22--2020-05-29,global,24ySl2hOPGCDcxBxFIqWBu
2,ROCKSTAR (feat. Roddy Ricch),DaBaby,36899304,2020-05-22--2020-05-29,global,7ytR5pFWmSjzHJIeQkgog4
3,Blinding Lights,The Weeknd,36790462,2020-05-22--2020-05-29,global,0VjIjW4GlUZAMYd2vXMi3b
4,Roses - Imanbek Remix,SAINt JHN,31501096,2020-05-22--2020-05-29,global,24Yi9hE78yPEbZ4kxyoXAI
5,death bed (coffee for your head) (feat. beabadoobee),Powfu,27032847,2020-05-22--2020-05-29,global,7eJMfftS33KTjuF7lTsMCx
6,Toosie Slide,Drake,25887943,2020-05-22--2020-05-29,global,466cKvZn1j45IpxDdYZqdA
7,THE SCOTTS,THE SCOTTS,24289864,2020-05-22--2020-05-29,global,39Yp9wwQiSRIDOvrVg7mbk
8,Don't Start Now,Dua Lipa,22476417,2020-05-22--2020-05-29,global,3PfIrDoz19wz7qK7tYeu62
9,Stuck with U (with Justin Bieber),Ariana Grande,21423623,2020-05-22--2020-05-29,global,4HBZA5flZLE435QTztThqH
10,GOOBA,6ix9ine,21143946,2020-05-22--2020-05-29,global,4NhDYoQTYCdWHTvlbGVgwo
11,Dance Monkey,Tones And I,20687583,2020-05-22--2020-05-29,global,1rgnBhdG2JDFTbYkYRZAku
12,Blueberry Faygo,Lil Mosey,19804629,2020-05-22--2020-05-29,global,22LAwLoDA5b4AaGSkg6bKW
13,ily (i love you baby) (feat. Emilee),Surf Mesa,19322430,2020-05-22--2020-05-29,global,62aP9fBQKYKxi7PDXwcUAS
14,The Box,Roddy Ricch,19087768,2020-05-22--2020-05-29,global,0nbXyq5TXYPCO7pr3N8S4I
15,Break My Heart,Dua Lipa,18888693,2020-05-22--2020-05-29,global,017PF4Q3l4DBUiWoXk4OWT
16,Supalonely,BENEE,18000520,2020-05-22--2020-05-29,global,4nK5YrxbMGZstTLbvj6Gxw
17,Intentions (feat. Quavo),Justin Bieber,15911389,2020-05-22--2020-05-29,global,4umIPjkehX1r7uhmGvXiSV
18,Falling,Trevor Daniel,15272835,2020-05-22--2020-05-29,global,2rRJrJEo19S2J82BDsQ3F7
19,Party Girl,StaySolidRocky,15064252,2020-05-22--2020-05-29,global,5RqR4ZCCKJDcBLIn4sih9l
20,Sunday Best,Surfaces,14931455,2020-05-22--2020-05-29,global,1Cv1YLb4q0RzL6pybtaMLo
21,Savage Remix (feat. Beyoncé),Megan Thee Stallion,14746427,2020-05-22--2020-05-29,global,5v4GgrXPMghOnBBLmveLac
22,Someone You Loved,Lewis Capaldi,14707349,2020-05-22--2020-05-29,global,7qEHsqek33rTcFNT9PFqLf
23,Say So,Doja Cat,14700722,2020-05-22--2020-05-29,global,3Dv1eDb0MEgF93GpLXlucZ
24,Watermelon Sugar,Harry Styles,14147420,2020-05-22--2020-05-29,global,6UelLqGlWMcVH1E5c4H7lY
25,Circles,Post Malone,13829039,2020-05-22--2020-05-29,global,21jGcNKet2qwijlDFuPiPb
26,Play Date,Melanie Martinez,13438336,2020-05-22--2020-05-29,global,4DpNNXFMMxQEKl7r0ykkWA
27,WHATS POPPIN,Jack Harlow,13383276,2020-05-22--2020-05-29,global,1jaTQ3nqY3oAAYyCTbIvnM
28,goosebumps,Travis Scott,13342664,2020-05-22--2020-05-29,global,6gBFPUFcJLzWGx4lenP6h2
29,Yo Perreo Sola,Bad Bunny,13283095,2020-05-22--2020-05-29,global,0SqqAgdovOE24BzxIClpjw
30,Safaera,Bad Bunny,13236099,2020-05-22--2020-05-29,global,2DEZmgHKAvm41k4J3R2E9Y
31,Boss Bitch,Doja Cat,12977601,2020-05-22--2020-05-29,global,78qd8dvwea0Gosb6Fe6j3k
32,Say So (feat. Nicki Minaj),Doja Cat,12897194,2020-05-22--2020-05-29,global,11VApNQCWLJdzxWrlmwzUa
33,ROXANNE,Arizona Zervas,12855093,2020-05-22--2020-05-29,global,696DnlkuDOXcMAnKlTgXXK
34,Be Kind (with Halsey),Marshmello,12668175,2020-05-22--2020-05-29,global,3Z8FwOEN59mRMxDCtb8N0A
35,SICKO MODE,Travis Scott,12561829,2020-05-22--2020-05-29,global,2xLMifQCjDGFmkHkpNLD9h
36,Tusa,KAROL G,12438430,2020-05-22--2020-05-29,global,7k4t7uLgtOxPwTpFmtJNTY
37,Breaking Me,Topic,12330368,2020-05-22--2020-05-29,global,3H7ihDc1dqLriiWXwsc2po
38,Life Is Good (feat. Drake),Future,12306604,2020-05-22--2020-05-29,global,1K5KBOgreBi5fkEHvg5ap3
39,HIGHEST IN THE ROOM,Travis Scott,11995805,2020-05-22--2020-05-29,global,3eekarcy7kvN4yt5ZFzltW
40,Adore You,Harry Styles,11439997,2020-05-22--2020-05-29,global,3jjujdWJ72nww5eGnfs2E7
41,Before You Go,Lewis Capaldi,11341806,2020-05-22--2020-05-29,global,2gMXnyrvIjhVBUZwvLZDMP
42,After Party,Don Toliver,11023835,2020-05-22--2020-05-29,global,527k23H0A4Q0UJN3vGs0Da
43,Memories,Maroon 5,10805684,2020-05-22--2020-05-29,global,2b8fOow8UzyDFAE27YhOZM
44,MAMACITA,Black Eyed Peas,10531095,2020-05-22--2020-05-29,global,14wf185UxfNbSy8dwt4r4q
45,bad guy,Billie Eilish,10503854,2020-05-22--2020-05-29,global,2Fxmhks0bxGSBdJ92vM42m
46,Rojo,J Balvin,10502955,2020-05-22--2020-05-29,global,380HmhwTE2NJgawn1NwkXi
47,Señorita,Shawn Mendes,10388637,2020-05-22--2020-05-29,global,6v3KW9xbzN5yKLt9YKDYA2
48,If the World Was Ending - feat. Julia Michaels,JP Saxe,10268115,2020-05-22--2020-05-29,global,2kJwzbxV2ppxnQoYw4GLBZ
49,Righteous,Juice WRLD,10090084,2020-05-22--2020-05-29,global,0OyQns5ayNK2OVaES0Vb8t
50,Lose Somebody,Kygo,9747526,2020-05-22--2020-05-29,global,7xbWAw3LMgRMn4omR5yVn3
51,In Your Eyes,The Weeknd,9721257,2020-05-22--2020-05-29,global,7szuecWAPwGoV1e5vGu8tl
52,Favorito,Camilo,9588841,2020-05-22--2020-05-29,global,0jT8Nl0shPS8115is0wD2Q
53,Physical,Dua Lipa,9250360,2020-05-22--2020-05-29,global,3AzjcOeAmA57TIOr9zF1ZW
54,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,9152286,2020-05-22--2020-05-29,global,0RiRZpuVRbi7oqRdSMwhQY
55,Daechwita,Agust D,8908179,2020-05-22--2020-05-29,global,0H4ugk6rhnXmTl47ayy9O5
56,Savage,Megan Thee Stallion,8811130,2020-05-22--2020-05-29,global,55CHeLEfn5iJ0IIkgaa4si
57,Ride It,Regard,8781367,2020-05-22--2020-05-29,global,2tnVG71enUj33Ic2nFN6kZ
58,Walk Em Down (feat. Roddy Ricch),NLE Choppa,8766701,2020-05-22--2020-05-29,global,4cSSL3YafYjM3yjgFO1vJg
59,PORFA,Feid,8699664,2020-05-22--2020-05-29,global,4TOmcZvw0gHa7GiXRbcYAW
60,Chicago Freestyle (feat. Giveon),Drake,8590294,2020-05-22--2020-05-29,global,4wVOKKEHUJxHCFFNUWDn0B
61,everything i wanted,Billie Eilish,8577352,2020-05-22--2020-05-29,global,3ZCTVFBt2Brf31RLEnCkWJ
62,Godzilla (feat. Juice WRLD),Eminem,8555084,2020-05-22--2020-05-29,global,7FIWs0pqAYbP91WWM0vlTQ
63,Skechers,DripReport,8518244,2020-05-22--2020-05-29,global,2alc8VZAzDgdAsL2QMk3hu
64,Elegí (feat. Dímelo Flow),Rauw Alejandro,8298677,2020-05-22--2020-05-29,global,50ZC4PM7hywH27RcCfViau
65,lovely (with Khalid),Billie Eilish,8108292,2020-05-22--2020-05-29,global,0u2P5u6lvoDfwTYjAADbn4
66,Daisies,Katy Perry,8095616,2020-05-22--2020-05-29,global,4uqh9bualXNHXXwO2wPorc
67,Amarillo,J Balvin,7721331,2020-05-22--2020-05-29,global,6zEgnpM0qYmHLDnh8WPejL
68,Lucid Dreams,Juice WRLD,7685799,2020-05-22--2020-05-29,global,285pBltuF7vW8TeWk8hdRR
69,DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,7570232,2020-05-22--2020-05-29,global,3nS9a01VvXHQriLqJYwRqG
70,Tattoo,Rauw Alejandro,7544232,2020-05-22--2020-05-29,global,7na7Bk98usp84FaOJFPv3d
71,hot girl bummer,blackbear,7460578,2020-05-22--2020-05-29,global,7aiClxsDWFRQ0Kzk5KI5ku
72,Lose Control,MEDUZA,7422205,2020-05-22--2020-05-29,global,7CHi4DtfK4heMlQaudCuHK
73,Salt,Ava Max,7420471,2020-05-22--2020-05-29,global,7vgv8KZBSo0TPzyIWG9yzV
74,I Don't Care (with Justin Bieber),Ed Sheeran,7364691,2020-05-22--2020-05-29,global,0hVXuCcriWRGvwMV1r5Yn9
75,La Difícil,Bad Bunny,7303228,2020-05-22--2020-05-29,global,6NfrH0ANGmgBXyxgV2PeXt
76,Shallow,Lady Gaga,7261606,2020-05-22--2020-05-29,global,2VxeLyX666F8uXCJ0dZF8B
77,PA' ROMPERLA,Bad Bunny,7138727,2020-05-22--2020-05-29,global,5XqCz18k96K8tx6DAYM97i
78,Roadrunner,Bonez MC,6977305,2020-05-22--2020-05-29,global,0BwO44CBPFWxAIO5ZbPf3N
79,Flex (feat. Juice WRLD),Polo G,6892795,2020-05-22--2020-05-29,global,2QqJTIlGKRLJC3onkavYEz
80,RITMO (Bad Boys For Life),Black Eyed Peas,6861241,2020-05-22--2020-05-29,global,6cy3ki60hLwimwIje7tALf
81,Ignorantes,Bad Bunny,6835850,2020-05-22--2020-05-29,global,38RIEav39FGi86jppxO0du
82,Morado,J Balvin,6835370,2020-05-22--2020-05-29,global,35KmOEIUqAGn02t7n4qaIr
83,COOLER THAN A BITCH (feat. Roddy Ricch),Gunna,6642144,2020-05-22--2020-05-29,global,5LHHKZOwV8XW4LJP2C64mw
84,CÓMO SE SIENTE - Remix,Jhay Cortez,6632034,2020-05-22--2020-05-29,global,2tFwfmceQa1Y6nRPhYbEtC
85,Relación,Sech,6612629,2020-05-22--2020-05-29,global,3ZG8N7aWw2meb6UrI5ZmnZ
86,Deep End Freestyle,Sleepy Hallow,6603374,2020-05-22--2020-05-29,global,4zTPYAf5scZdp0LnwPPeWK
87,Kings & Queens,Ava Max,6602426,2020-05-22--2020-05-29,global,76nqCfJOcFFWBJN32PAksn
88,Diosa,Myke Towers,6599333,2020-05-22--2020-05-29,global,3JHpk0DOTOzyh0777JFAky
89,BYE ME FUI,Bad Bunny,6595067,2020-05-22--2020-05-29,global,0FktnzDqjClqU6iqOZVEs2
90,In Your Eyes (with Doja Cat) - Remix,The Weeknd,6511008,2020-05-22--2020-05-29,global,0UnTaVkntyh3vqvLEvbpQx
91,7 rings,Ariana Grande,6397939,2020-05-22--2020-05-29,global,6ocbgoVGwYJhOv1GgI9NsF
92,WUNNA,Gunna,6384306,2020-05-22--2020-05-29,global,0y7Ao3CVJsyKFmqdjutiIF
93,Ballin' (with Roddy Ricch),Mustard,6351307,2020-05-22--2020-05-29,global,3QzAOrNlsabgbMwlZt7TAY
94,Si Veo a Tu Mamá,Bad Bunny,6306506,2020-05-22--2020-05-29,global,41wtwzCZkXwpnakmwJ239F
95,when the party's over,Billie Eilish,6233298,2020-05-22--2020-05-29,global,43zdsphuZLzwA9k4DJhU0I
96,La Jeepeta - Remix,Nio Garcia,6210717,2020-05-22--2020-05-29,global,1mohfLaTJtB2RplHLQVM70
97,Yummy,Justin Bieber,6197361,2020-05-22--2020-05-29,global,16wAOAZ2OkqoIDN7TpChjR
98,"10,000 Hours (with Justin Bieber)",Dan + Shay,6173293,2020-05-22--2020-05-29,global,2wrJq5XKLnmhRXHIAf9xBa
99,Believer,Imagine Dragons,6075525,2020-05-22--2020-05-29,global,0pqnGHJpmpxLKifKRmU6WP
100,Level of Concern,Twenty One Pilots,6055422,2020-05-22--2020-05-29,global,6xZ4Q2k2ompmDppyeESIY8
101,rockstar (feat. 21 Savage),Post Malone,6037104,2020-05-22--2020-05-29,global,0e7ipj03S05BNilyu5bRzt
102,Know Your Worth,Khalid,5999890,2020-05-22--2020-05-29,global,0TrPqhAMoaKUFLR7iYDokf
103,Beautiful People (feat. Khalid),Ed Sheeran,5977147,2020-05-22--2020-05-29,global,70eFcWOvlMObDhURTqT4Fv
104,Solitaires (feat. Travis Scott),Future,5926663,2020-05-22--2020-05-29,global,4kfeRwpq5KUaqTkgi4TbDF
105,This City,Sam Fischer,5912188,2020-05-22--2020-05-29,global,3H3r2nKWa3Yk5gt8xgmsEt
106,In Your Eyes (feat. Alida),Robin Schulz,5883094,2020-05-22--2020-05-29,global,61ZM92T2zaXIVsqncThQzC
107,Stupid Love,Lady Gaga,5854477,2020-05-22--2020-05-29,global,2kJu14V7hbZw3I4K8L8SXb
108,Jocelyn Flores,XXXTENTACION,5843985,2020-05-22--2020-05-29,global,7m9OqQk4RVRkw9JJdeAw96
109,BELIEVE IT,PARTYNEXTDOOR,5823405,2020-05-22--2020-05-29,global,4HDCLYli2SUdkq9OjmvhSD
110,I’m Ready (with Demi Lovato),Sam Smith,5762179,2020-05-22--2020-05-29,global,1fipvP2zmef6vN2IwXfJhY
111,Falling,Harry Styles,5757248,2020-05-22--2020-05-29,global,1ZMiCix7XSAbfAJlEZWMCp
112,SAD!,XXXTENTACION,5722567,2020-05-22--2020-05-29,global,3ee8Jmje8o58CHK66QrVC2
113,Hola - Remix,Dalex,5721147,2020-05-22--2020-05-29,global,5stPVcRqb4qixbafP9e8lt
114,Like That (feat. Gucci Mane),Doja Cat,5685686,2020-05-22--2020-05-29,global,4EivmOT13NMpNSfTKn9p4s
115,Happier,Marshmello,5676080,2020-05-22--2020-05-29,global,2dpaYNEQHiRxtZbfNsse99
116,Bohemian Rhapsody - 2011 Mix,Queen,5649933,2020-05-22--2020-05-29,global,4u7EnebtmKWzUH433cf5Qv
117,Selfish,Madison Beer,5641974,2020-05-22--2020-05-29,global,4PV0uE5pZSh44E3NqNNDEH
118,El Efecto,Rauw Alejandro,5631844,2020-05-22--2020-05-29,global,4SJHHpKhcuXwDsCsPqshXj
119,High Fashion (feat. Mustard),Roddy Ricch,5618210,2020-05-22--2020-05-29,global,07KXEDMj78x68D884wgVEm
120,Ransom,Lil Tecca,5618131,2020-05-22--2020-05-29,global,1lOe9qE0vR9zwWQAOk6CoO
121,PAM,Justin Quiles,5558611,2020-05-22--2020-05-29,global,0eeKDrQxjqNl5bX5VCHDcn
122,Shape of You,Ed Sheeran,5556656,2020-05-22--2020-05-29,global,7qiZfU4dY1lWllzX7mPBI3
123,Komm Komm,Capital Bra,5552890,2020-05-22--2020-05-29,global,3US6RbELvvrPw3DcvtJmis
124,Sour Candy (with BLACKPINK),Lady Gaga,5518032,2020-05-22--2020-05-29,global,6R6ZoHTypt5lt68MWbzZXv
125,BAD CON NICKY,Bad Bunny,5516612,2020-05-22--2020-05-29,global,5bmSver2b3ZXyuyLKtgnFI
126,Myron,Lil Uzi Vert,5487510,2020-05-22--2020-05-29,global,56uXDJRCuoS7abX3SkzHKQ
127,Lalala,Y2K,5417827,2020-05-22--2020-05-29,global,51Fjme0JiitpyXKuyQiCDo
128,Azul,J Balvin,5392583,2020-05-22--2020-05-29,global,2lCkncy6bIB0LTMT7kvrD1
129,Sigues Con El,Dímelo Flow,5364617,2020-05-22--2020-05-29,global,7sQKy5vlPQllr0k9IjYJv3
130,Robbery,Juice WRLD,5334433,2020-05-22--2020-05-29,global,6Hj9jySrnFppAI0sEMCZpJ
131,Say You Won't Let Go,James Arthur,5332015,2020-05-22--2020-05-29,global,5uCax9HTNlzGybIStD3vDh
132,OUT WEST (feat. Young Thug),JACKBOYS,5319141,2020-05-22--2020-05-29,global,6gi6y1xwmVszDWkUqab1qw
133,Perfect,Ed Sheeran,5285817,2020-05-22--2020-05-29,global,0tgVpDi06FyKpA1z0VMD4v
134,Turks (with Gunna & ft. Travis Scott),NAV,5279906,2020-05-22--2020-05-29,global,7IMwEtpAiJanqF6vQteZN2
135,La Santa,Bad Bunny,5231700,2020-05-22--2020-05-29,global,69vlMrzHwATKzupwNcUPyK
136,Bandit (with YoungBoy Never Broke Again),Juice WRLD,5225786,2020-05-22--2020-05-29,global,6Gg1gjgKi2AK4e0qzsR7sd
137,P2,Lil Uzi Vert,5220139,2020-05-22--2020-05-29,global,3kW4z2pIj5VY5fLjBrMRL5
138,BOP,DaBaby,5209815,2020-05-22--2020-05-29,global,6Ozh9Ok6h4Oi1wUSLtBseN
139,TOP FLOOR (feat. Travis Scott),Gunna,5193309,2020-05-22--2020-05-29,global,4YhJ3a6kBPGJWX4Ek77sDd
140,Without Me,Halsey,5190315,2020-05-22--2020-05-29,global,6FZDfxM3a3UCqtzo5pxSLZ
141,China,Anuel AA,5140073,2020-05-22--2020-05-29,global,2ksOAxtIxY8yElEWw8RhgK
142,Fame,Apache 207,5139801,2020-05-22--2020-05-29,global,3goH7O78TLkV9RhCAyM4AT
143,Goodbyes (Feat. Young Thug),Post Malone,5134161,2020-05-22--2020-05-29,global,6vBdBCoOhKHiYDDOcorfNo
144,Vete,Bad Bunny,5133197,2020-05-22--2020-05-29,global,2n7ohqg1s68ToAHh4u9mcW
145,CANCIÓN CON YANDEL,Yandel,5132247,2020-05-22--2020-05-29,global,3pm4XtcsRIFFtH2UErk62R
146,Jangueo,Alex Rose,5084564,2020-05-22--2020-05-29,global,5m3jpKkgkfoMcym1qjToFg
147,It's You,Ali Gatie,5083069,2020-05-22--2020-05-29,global,5DqdesEfbRyOlSS3Tf6c29
148,July,Noah Cyrus,5027694,2020-05-22--2020-05-29,global,6J2LdBN97cDWn0MLxYh9HB
149,X (with KAROL G),Jonas Brothers,5018592,2020-05-22--2020-05-29,global,77fvnWALKJR0ws1VUx09CY
150,No Me Conoce - Remix,Jhay Cortez,5009156,2020-05-22--2020-05-29,global,4R8BJggjosTswLxtkw8V7P
151,MÁS DE UNA CITA,Bad Bunny,4987116,2020-05-22--2020-05-29,global,4EJHKSnHENfjOxXWryyNtL
152,No Idea,Don Toliver,4945908,2020-05-22--2020-05-29,global,7AzlLxHn24DxjgQX73F9fU
153,Old Town Road - Remix,Lil Nas X,4939163,2020-05-22--2020-05-29,global,2YpeDb67231RjR0MgVLzsG
154,Sweet but Psycho,Ava Max,4931003,2020-05-22--2020-05-29,global,25sgk305KZfyuqVBQIahim
155,Youngblood,5 Seconds of Summer,4913862,2020-05-22--2020-05-29,global,2iUXsYOEPhVqEBwsqP70rE
156,What A Man Gotta Do,Jonas Brothers,4906299,2020-05-22--2020-05-29,global,4wNIkl5XGiAACjFBlDWuSd
157,LA CANCIÓN,J Balvin,4893662,2020-05-22--2020-05-29,global,0fea68AdmYNygeTGI4RC18
158,El Efecto - Remix,Rauw Alejandro,4880808,2020-05-22--2020-05-29,global,74j34STf8L6uADnTN69ohv
159,Together,Sia,4861870,2020-05-22--2020-05-29,global,5id3Rqn7SPj1LX4FfY4nGz
160,Sucker,Jonas Brothers,4859255,2020-05-22--2020-05-29,global,22vgEDb5hykfaTwLuskFGD
161,The Less I Know The Better,Tame Impala,4853702,2020-05-22--2020-05-29,global,6K4t31amVTZDgR3sKmwUJJ
162,Rover (feat. DTG),S1mba,4851878,2020-05-22--2020-05-29,global,4slSrbTK1sNK4I1mDYEthf
163,Get You The Moon (feat. Snøw),Kina,4844975,2020-05-22--2020-05-29,global,4ZLzoOkj0MPWrTLvooIuaa
164,Bruises,Lewis Capaldi,4830711,2020-05-22--2020-05-29,global,4Of7rzpRpV1mWRbhp5rAqG
165,Lose You To Love Me,Selena Gomez,4822183,2020-05-22--2020-05-29,global,4l0Mvzj72xxOpRrp6h8nHi
166,Wow.,Post Malone,4805428,2020-05-22--2020-05-29,global,7xQAfvXzm3AkraOtGPWIZg
167,eight(Prod.&Feat. SUGA of BTS),IU,4764954,2020-05-22--2020-05-29,global,0pYacDCZuRhcrwGUA5nTBe
168,You should be sad,Halsey,4761908,2020-05-22--2020-05-29,global,7lidXGPXPYLNThITAOTlkK
169,Go Crazy,Chris Brown,4742654,2020-05-22--2020-05-29,global,1IIKrJVP1C9N7iPtG6eOsK
170,Surrender,Natalie Taylor,4736466,2020-05-22--2020-05-29,global,0ecC8p17cDNlxHXkuYqeR6
171,IDK You Yet,Alexander 23,4722951,2020-05-22--2020-05-29,global,47EWMOElkkbMp5m9SBkx7d
172,Be Alright,Dean Lewis,4711701,2020-05-22--2020-05-29,global,5qrSlOut2rNAWv3ubArkNy
173,Moonlight,XXXTENTACION,4693885,2020-05-22--2020-05-29,global,0JP9xo3adEtGSdUEISiszL
174,Fantasias,Rauw Alejandro,4693548,2020-05-22--2020-05-29,global,6mAN61JH0dzyZpWslS11jy
175,Like It Is,Kygo,4662680,2020-05-22--2020-05-29,global,3frUvGrmGcay91lvFbOgsN
176,Lights Up,Harry Styles,4658350,2020-05-22--2020-05-29,global,4jAIqgrPjKLTY9Gbez25Qb
177,CITY OF ANGELS,24kGoldn,4645541,2020-05-22--2020-05-29,global,6ap9lSRJ0iLriGLqoJ44cq
178,Astronomia,Vicetone,4642284,2020-05-22--2020-05-29,global,665AK0ovB11McZRwfa852G
179,Airwaves,Pashanim,4641118,2020-05-22--2020-05-29,global,5CqkgDH8QZjSqqI3HmYxDD
180,Higher Love,Kygo,4636775,2020-05-22--2020-05-29,global,6oJ6le65B3SEqPwMRNXWjY
181,Make You Mine,PUBLIC,4636601,2020-05-22--2020-05-29,global,5iFwAOB2TFkPJk8sMlxP8g
182,All of Me,John Legend,4621202,2020-05-22--2020-05-29,global,3U4isOIWM3VvDubwSI3y7a
183,Money In The Grave (Drake ft. Rick Ross),Drake,4620148,2020-05-22--2020-05-29,global,5ry2OE6R2zPQFDO85XkgRb
184,My Oh My (feat. DaBaby),Camila Cabello,4617573,2020-05-22--2020-05-29,global,3yOlyBJuViE2YSGn3nVE1K
