Position,Track Name,Artist,Streams,date,region,spotify_id
1,Blinding Lights,The Weeknd,37691387,2020-05-15--2020-05-22,global,0VjIjW4GlUZAMYd2vXMi3b
2,ROCKSTAR (feat. Roddy Ricch),DaBaby,35184237,2020-05-15--2020-05-22,global,7ytR5pFWmSjzHJIeQkgog4
3,Roses - Imanbek Remix,SAINt JHN,32559002,2020-05-15--2020-05-22,global,24Yi9hE78yPEbZ4kxyoXAI
4,Toosie Slide,Drake,28135263,2020-05-15--2020-05-22,global,466cKvZn1j45IpxDdYZqdA
5,death bed (coffee for your head) (feat. beabadoobee),Powfu,27735375,2020-05-15--2020-05-22,global,7eJMfftS33KTjuF7lTsMCx
6,GOOBA,6ix9ine,26629015,2020-05-15--2020-05-22,global,4NhDYoQTYCdWHTvlbGVgwo
7,THE SCOTTS,THE SCOTTS,26325397,2020-05-15--2020-05-22,global,39Yp9wwQiSRIDOvrVg7mbk
8,Stuck with U (with Justin Bieber),Ariana Grande,25771347,2020-05-15--2020-05-22,global,4HBZA5flZLE435QTztThqH
9,Don't Start Now,Dua Lipa,23461073,2020-05-15--2020-05-22,global,3PfIrDoz19wz7qK7tYeu62
10,Dance Monkey,Tones And I,21432028,2020-05-15--2020-05-22,global,1rgnBhdG2JDFTbYkYRZAku
11,Blueberry Faygo,Lil Mosey,21339244,2020-05-15--2020-05-22,global,22LAwLoDA5b4AaGSkg6bKW
12,The Box,Roddy Ricch,20318775,2020-05-15--2020-05-22,global,0nbXyq5TXYPCO7pr3N8S4I
13,Break My Heart,Dua Lipa,19242686,2020-05-15--2020-05-22,global,017PF4Q3l4DBUiWoXk4OWT
14,Supalonely,BENEE,19176048,2020-05-15--2020-05-22,global,4nK5YrxbMGZstTLbvj6Gxw
15,ily (i love you baby) (feat. Emilee),Surf Mesa,18261356,2020-05-15--2020-05-22,global,62aP9fBQKYKxi7PDXwcUAS
16,Intentions (feat. Quavo),Justin Bieber,16662888,2020-05-15--2020-05-22,global,4umIPjkehX1r7uhmGvXiSV
17,Sunday Best,Surfaces,16001066,2020-05-15--2020-05-22,global,1Cv1YLb4q0RzL6pybtaMLo
18,Falling,Trevor Daniel,15900117,2020-05-15--2020-05-22,global,2rRJrJEo19S2J82BDsQ3F7
19,Say So,Doja Cat,15775226,2020-05-15--2020-05-22,global,3Dv1eDb0MEgF93GpLXlucZ
20,Someone You Loved,Lewis Capaldi,14955170,2020-05-15--2020-05-22,global,7qEHsqek33rTcFNT9PFqLf
21,Savage Remix (feat. Beyoncé),Megan Thee Stallion,14758194,2020-05-15--2020-05-22,global,5v4GgrXPMghOnBBLmveLac
22,Boss Bitch,Doja Cat,14384837,2020-05-15--2020-05-22,global,78qd8dvwea0Gosb6Fe6j3k
23,Circles,Post Malone,14251526,2020-05-15--2020-05-22,global,21jGcNKet2qwijlDFuPiPb
24,Yo Perreo Sola,Bad Bunny,14065256,2020-05-15--2020-05-22,global,0SqqAgdovOE24BzxIClpjw
25,Say So (feat. Nicki Minaj),Doja Cat,14058611,2020-05-15--2020-05-22,global,11VApNQCWLJdzxWrlmwzUa
26,Play Date,Melanie Martinez,13829838,2020-05-15--2020-05-22,global,4DpNNXFMMxQEKl7r0ykkWA
27,Life Is Good (feat. Drake),Future,13808962,2020-05-15--2020-05-22,global,1K5KBOgreBi5fkEHvg5ap3
28,Be Kind (with Halsey),Marshmello,13678180,2020-05-15--2020-05-22,global,3Z8FwOEN59mRMxDCtb8N0A
29,goosebumps,Travis Scott,13616931,2020-05-15--2020-05-22,global,6gBFPUFcJLzWGx4lenP6h2
30,ROXANNE,Arizona Zervas,13413176,2020-05-15--2020-05-22,global,696DnlkuDOXcMAnKlTgXXK
31,WHATS POPPIN,Jack Harlow,13369562,2020-05-15--2020-05-22,global,1jaTQ3nqY3oAAYyCTbIvnM
32,Adore You,Harry Styles,13347306,2020-05-15--2020-05-22,global,3jjujdWJ72nww5eGnfs2E7
33,Party Girl,StaySolidRocky,13149805,2020-05-15--2020-05-22,global,5RqR4ZCCKJDcBLIn4sih9l
34,SICKO MODE,Travis Scott,12769185,2020-05-15--2020-05-22,global,2xLMifQCjDGFmkHkpNLD9h
