Position,Track Name,Artist,Streams,date,region,spotify_id
1,THE SCOTTS,THE SCOTTS,48430814,2020-04-24--2020-05-01,global,39Yp9wwQiSRIDOvrVg7mbk
2,Blinding Lights,The Weeknd,39815380,2020-04-24--2020-05-01,global,0VjIjW4GlUZAMYd2vXMi3b
3,Roses - Imanbek Remix,SAINt JHN,33715483,2020-04-24--2020-05-01,global,24Yi9hE78yPEbZ4kxyoXAI
4,Toosie Slide,Drake,33319125,2020-04-24--2020-05-01,global,127QTOFJsJQp5LbJbu3A1y
5,death bed (coffee for your head) (feat. beabadoobee),Powfu,28723959,2020-04-24--2020-05-01,global,7eJMfftS33KTjuF7lTsMCx
6,Don't Start Now,Dua Lipa,27328676,2020-04-24--2020-05-01,global,3PfIrDoz19wz7qK7tYeu62
7,SICKO MODE,Travis Scott,24424239,2020-04-24--2020-05-01,global,2xLMifQCjDGFmkHkpNLD9h
8,The Box,Roddy Ricch,24176908,2020-04-24--2020-05-01,global,0nbXyq5TXYPCO7pr3N8S4I
9,Dance Monkey,Tones And I,24035263,2020-04-24--2020-05-01,global,1rgnBhdG2JDFTbYkYRZAku
10,Righteous,Juice WRLD,23233286,2020-04-24--2020-05-01,global,0OyQns5ayNK2OVaES0Vb8t
11,Blueberry Faygo,Lil Mosey,23116918,2020-04-24--2020-05-01,global,22LAwLoDA5b4AaGSkg6bKW
12,Say So,Doja Cat,23023262,2020-04-24--2020-05-01,global,3Dv1eDb0MEgF93GpLXlucZ
13,goosebumps,Travis Scott,22652793,2020-04-24--2020-05-01,global,6gBFPUFcJLzWGx4lenP6h2
14,ROCKSTAR (feat. Roddy Ricch),DaBaby,19368988,2020-04-24--2020-05-01,global,7ytR5pFWmSjzHJIeQkgog4
15,Break My Heart,Dua Lipa,19003813,2020-04-24--2020-05-01,global,017PF4Q3l4DBUiWoXk4OWT
16,Supalonely,BENEE,18767669,2020-04-24--2020-05-01,global,4nK5YrxbMGZstTLbvj6Gxw
17,HIGHEST IN THE ROOM,Travis Scott,18713474,2020-04-24--2020-05-01,global,3eekarcy7kvN4yt5ZFzltW
18,Intentions (feat. Quavo),Justin Bieber,17639482,2020-04-24--2020-05-01,global,4umIPjkehX1r7uhmGvXiSV
19,Falling,Trevor Daniel,17451702,2020-04-24--2020-05-01,global,2rRJrJEo19S2J82BDsQ3F7
20,Sunday Best,Surfaces,16983467,2020-04-24--2020-05-01,global,1Cv1YLb4q0RzL6pybtaMLo
21,Savage,Megan Thee Stallion,15790028,2020-04-24--2020-05-01,global,55CHeLEfn5iJ0IIkgaa4si
22,Someone You Loved,Lewis Capaldi,15479120,2020-04-24--2020-05-01,global,7qEHsqek33rTcFNT9PFqLf
23,Boss Bitch,Doja Cat,15474057,2020-04-24--2020-05-01,global,78qd8dvwea0Gosb6Fe6j3k
24,Yo Perreo Sola,Bad Bunny,14959588,2020-04-24--2020-05-01,global,0SqqAgdovOE24BzxIClpjw
25,ROXANNE,Arizona Zervas,14950290,2020-04-24--2020-05-01,global,696DnlkuDOXcMAnKlTgXXK
26,Circles,Post Malone,14868230,2020-04-24--2020-05-01,global,21jGcNKet2qwijlDFuPiPb
27,Safaera,Bad Bunny,14663836,2020-04-24--2020-05-01,global,2DEZmgHKAvm41k4J3R2E9Y
28,ily (i love you baby) (feat. Emilee),Surf Mesa,14102313,2020-04-24--2020-05-01,global,62aP9fBQKYKxi7PDXwcUAS
29,Tusa,KAROL G,14096506,2020-04-24--2020-05-01,global,7k4t7uLgtOxPwTpFmtJNTY
30,WHATS POPPIN,Jack Harlow,13550926,2020-04-24--2020-05-01,global,1jaTQ3nqY3oAAYyCTbIvnM
31,In Your Eyes,The Weeknd,13468525,2020-04-24--2020-05-01,global,7szuecWAPwGoV1e5vGu8tl
32,Physical,Dua Lipa,13247518,2020-04-24--2020-05-01,global,3AzjcOeAmA57TIOr9zF1ZW
33,Adore You,Harry Styles,12987384,2020-04-24--2020-05-01,global,3jjujdWJ72nww5eGnfs2E7
34,Life Is Good (feat. Drake),Future,12053518,2020-04-24--2020-05-01,global,5yY9lUy8nbvjM1Uyo1Uqoc
35,Favorito,Camilo,12042862,2020-04-24--2020-05-01,global,0jT8Nl0shPS8115is0wD2Q
36,Memories,Maroon 5,11717733,2020-04-24--2020-05-01,global,2b8fOow8UzyDFAE27YhOZM
37,bad guy,Billie Eilish,11587288,2020-04-24--2020-05-01,global,2Fxmhks0bxGSBdJ92vM42m
38,Rojo,J Balvin,11501111,2020-04-24--2020-05-01,global,380HmhwTE2NJgawn1NwkXi
39,Before You Go,Lewis Capaldi,11302486,2020-04-24--2020-05-01,global,2gMXnyrvIjhVBUZwvLZDMP
40,If the World Was Ending - feat. Julia Michaels,JP Saxe,11137128,2020-04-24--2020-05-01,global,2kJwzbxV2ppxnQoYw4GLBZ
41,Skechers,DripReport,10967603,2020-04-24--2020-05-01,global,2alc8VZAzDgdAsL2QMk3hu
42,Señorita,Shawn Mendes,10591687,2020-04-24--2020-05-01,global,6v3KW9xbzN5yKLt9YKDYA2
