Position,Track Name,Artist,Streams,date,region,spotify_id
1,Blinding Lights,The Weeknd,38464931,2020-05-01--2020-05-08,global,0VjIjW4GlUZAMYd2vXMi3b
2,Toosie Slide,Drake,37583329,2020-05-01--2020-05-08,global,466cKvZn1j45IpxDdYZqdA
3,THE SCOTTS,THE SCOTTS,35903259,2020-05-01--2020-05-08,global,39Yp9wwQiSRIDOvrVg7mbk
4,Roses - Imanbek Remix,SAINt JHN,33511709,2020-05-01--2020-05-08,global,24Yi9hE78yPEbZ4kxyoXAI
5,death bed (coffee for your head) (feat. beabadoobee),Powfu,28117111,2020-05-01--2020-05-08,global,7eJMfftS33KTjuF7lTsMCx
6,Don't Start Now,Dua Lipa,25769315,2020-05-01--2020-05-08,global,3PfIrDoz19wz7qK7tYeu62
7,ROCKSTAR (feat. Roddy Ricch),DaBaby,23563124,2020-05-01--2020-05-08,global,7ytR5pFWmSjzHJIeQkgog4
8,Dance Monkey,Tones And I,22847376,2020-05-01--2020-05-08,global,1rgnBhdG2JDFTbYkYRZAku
9,The Box,Roddy Ricch,22749571,2020-05-01--2020-05-08,global,0nbXyq5TXYPCO7pr3N8S4I
10,Blueberry Faygo,Lil Mosey,22071945,2020-05-01--2020-05-08,global,22LAwLoDA5b4AaGSkg6bKW
11,Say So,Doja Cat,21460156,2020-05-01--2020-05-08,global,3Dv1eDb0MEgF93GpLXlucZ
12,Pain 1993 (with Playboi Carti),Drake,20132575,2020-05-01--2020-05-08,global,6Kj17Afjo1OKJYpf5VzCeo
13,Savage Remix (feat. Beyoncé),Megan Thee Stallion,18837354,2020-05-01--2020-05-08,global,5v4GgrXPMghOnBBLmveLac
14,Break My Heart,Dua Lipa,18727417,2020-05-01--2020-05-08,global,017PF4Q3l4DBUiWoXk4OWT
15,Supalonely,BENEE,18477082,2020-05-01--2020-05-08,global,4nK5YrxbMGZstTLbvj6Gxw
16,Intentions (feat. Quavo),Justin Bieber,17237165,2020-05-01--2020-05-08,global,4umIPjkehX1r7uhmGvXiSV
17,SICKO MODE,Travis Scott,17220051,2020-05-01--2020-05-08,global,2xLMifQCjDGFmkHkpNLD9h
18,goosebumps,Travis Scott,16887862,2020-05-01--2020-05-08,global,6gBFPUFcJLzWGx4lenP6h2
19,Righteous,Juice WRLD,16810085,2020-05-01--2020-05-08,global,0OyQns5ayNK2OVaES0Vb8t
20,Falling,Trevor Daniel,16751384,2020-05-01--2020-05-08,global,2rRJrJEo19S2J82BDsQ3F7
21,Sunday Best,Surfaces,16189442,2020-05-01--2020-05-08,global,1Cv1YLb4q0RzL6pybtaMLo
22,Be Kind (with Halsey),Marshmello,15521530,2020-05-01--2020-05-08,global,3Z8FwOEN59mRMxDCtb8N0A
23,Chicago Freestyle (feat. Giveon),Drake,15099090,2020-05-01--2020-05-08,global,4wVOKKEHUJxHCFFNUWDn0B
24,Someone You Loved,Lewis Capaldi,15086534,2020-05-01--2020-05-08,global,7qEHsqek33rTcFNT9PFqLf
25,Boss Bitch,Doja Cat,15082961,2020-05-01--2020-05-08,global,78qd8dvwea0Gosb6Fe6j3k
26,Yo Perreo Sola,Bad Bunny,14760526,2020-05-01--2020-05-08,global,0SqqAgdovOE24BzxIClpjw
27,HIGHEST IN THE ROOM,Travis Scott,14622096,2020-05-01--2020-05-08,global,3eekarcy7kvN4yt5ZFzltW
28,ROXANNE,Arizona Zervas,14429112,2020-05-01--2020-05-08,global,696DnlkuDOXcMAnKlTgXXK
29,Circles,Post Malone,14365837,2020-05-01--2020-05-08,global,21jGcNKet2qwijlDFuPiPb
30,Safaera,Bad Bunny,14215438,2020-05-01--2020-05-08,global,2DEZmgHKAvm41k4J3R2E9Y
