Position,Track Name,Artist,Streams,date,region,spotify_id
1,Blinding Lights,The Weeknd,45847200,2020-04-03--2020-04-10,global,0VjIjW4GlUZAMYd2vXMi3b
2,Toosie Slide,Drake,45292273,2020-04-03--2020-04-10,global,127QTOFJsJQp5LbJbu3A1y
3,Roses - Imanbek Remix,SAINt JHN,35360782,2020-04-03--2020-04-10,global,24Yi9hE78yPEbZ4kxyoXAI
4,Don't Start Now,Dua Lipa,33990470,2020-04-03--2020-04-10,global,3PfIrDoz19wz7qK7tYeu62
5,The Box,Roddy Ricch,30733614,2020-04-03--2020-04-10,global,0nbXyq5TXYPCO7pr3N8S4I
6,death bed (coffee for your head) (feat. beabadoobee),Powfu,29768334,2020-04-03--2020-04-10,global,7eJMfftS33KTjuF7lTsMCx
7,Dance Monkey,Tones And I,29244907,2020-04-03--2020-04-10,global,1rgnBhdG2JDFTbYkYRZAku
8,Blueberry Faygo,Lil Mosey,25502966,2020-04-03--2020-04-10,global,22LAwLoDA5b4AaGSkg6bKW
9,Say So,Doja Cat,23883417,2020-04-03--2020-04-10,global,3Dv1eDb0MEgF93GpLXlucZ
10,Intentions (feat. Quavo),Justin Bieber,21653442,2020-04-03--2020-04-10,global,4umIPjkehX1r7uhmGvXiSV
11,Break My Heart,Dua Lipa,21185887,2020-04-03--2020-04-10,global,017PF4Q3l4DBUiWoXk4OWT
12,Falling,Trevor Daniel,21126685,2020-04-03--2020-04-10,global,2rRJrJEo19S2J82BDsQ3F7
13,Sunday Best,Surfaces,19466264,2020-04-03--2020-04-10,global,1Cv1YLb4q0RzL6pybtaMLo
14,Safaera,Bad Bunny,19310891,2020-04-03--2020-04-10,global,2DEZmgHKAvm41k4J3R2E9Y
15,Supalonely,BENEE,18931629,2020-04-03--2020-04-10,global,4nK5YrxbMGZstTLbvj6Gxw
16,Physical,Dua Lipa,18252980,2020-04-03--2020-04-10,global,3AzjcOeAmA57TIOr9zF1ZW
17,In Your Eyes,The Weeknd,17822647,2020-04-03--2020-04-10,global,7szuecWAPwGoV1e5vGu8tl
18,Yo Perreo Sola,Bad Bunny,17807967,2020-04-03--2020-04-10,global,0SqqAgdovOE24BzxIClpjw
19,ROXANNE,Arizona Zervas,17519646,2020-04-03--2020-04-10,global,696DnlkuDOXcMAnKlTgXXK
20,Tusa,KAROL G,16816703,2020-04-03--2020-04-10,global,7k4t7uLgtOxPwTpFmtJNTY
21,Someone You Loved,Lewis Capaldi,16783691,2020-04-03--2020-04-10,global,7qEHsqek33rTcFNT9PFqLf
22,Savage,Megan Thee Stallion,16579250,2020-04-03--2020-04-10,global,55CHeLEfn5iJ0IIkgaa4si
23,Circles,Post Malone,15792978,2020-04-03--2020-04-10,global,21jGcNKet2qwijlDFuPiPb
24,Boss Bitch,Doja Cat,14984982,2020-04-03--2020-04-10,global,78qd8dvwea0Gosb6Fe6j3k
25,Rojo,J Balvin,14527941,2020-04-03--2020-04-10,global,380HmhwTE2NJgawn1NwkXi
26,Adore You,Harry Styles,14282796,2020-04-03--2020-04-10,global,3jjujdWJ72nww5eGnfs2E7
27,Memories,Maroon 5,13783535,2020-04-03--2020-04-10,global,2b8fOow8UzyDFAE27YhOZM
28,BELIEVE IT,PARTYNEXTDOOR,13640238,2020-04-03--2020-04-10,global,4HDCLYli2SUdkq9OjmvhSD
29,Life Is Good (feat. Drake),Future,13260744,2020-04-03--2020-04-10,global,5yY9lUy8nbvjM1Uyo1Uqoc
30,WHATS POPPIN,Jack Harlow,13174460,2020-04-03--2020-04-10,global,1jaTQ3nqY3oAAYyCTbIvnM
31,Godzilla (feat. Juice WRLD),Eminem,12964861,2020-04-03--2020-04-10,global,7FIWs0pqAYbP91WWM0vlTQ
32,FIND MY WAY,DaBaby,12955213,2020-04-03--2020-04-10,global,1lGHa2pwYzxQHFBUynhLtO
33,bad guy,Billie Eilish,12781658,2020-04-03--2020-04-10,global,2Fxmhks0bxGSBdJ92vM42m
34,everything i wanted,Billie Eilish,12200048,2020-04-03--2020-04-10,global,3ZCTVFBt2Brf31RLEnCkWJ
35,La Difícil,Bad Bunny,12183541,2020-04-03--2020-04-10,global,6NfrH0ANGmgBXyxgV2PeXt
36,Before You Go,Lewis Capaldi,12169219,2020-04-03--2020-04-10,global,2gMXnyrvIjhVBUZwvLZDMP
37,Señorita,Shawn Mendes,11481577,2020-04-03--2020-04-10,global,6v3KW9xbzN5yKLt9YKDYA2
38,Si Veo a Tu Mamá,Bad Bunny,11321871,2020-04-03--2020-04-10,global,41wtwzCZkXwpnakmwJ239F
39,Ignorantes,Bad Bunny,11272238,2020-04-03--2020-04-10,global,38RIEav39FGi86jppxO0du
40,Skechers,DripReport,11186423,2020-04-03--2020-04-10,global,2alc8VZAzDgdAsL2QMk3hu
41,After Hours,The Weeknd,11174275,2020-04-03--2020-04-10,global,2p8IUWQDrpjuFltbdgLOag
42,Turks (feat. Travis Scott),NAV,11042300,2020-04-03--2020-04-10,global,0lSZh5W0wDeurkGzLYY6hf
43,Yummy,Justin Bieber,10573234,2020-04-03--2020-04-10,global,16wAOAZ2OkqoIDN7TpChjR
44,Amarillo,J Balvin,10463568,2020-04-03--2020-04-10,global,6zEgnpM0qYmHLDnh8WPejL
45,Tattoo,Rauw Alejandro,10234460,2020-04-03--2020-04-10,global,7na7Bk98usp84FaOJFPv3d
46,Like It Is,Kygo,10057465,2020-04-03--2020-04-10,global,3frUvGrmGcay91lvFbOgsN
47,If the World Was Ending - feat. Julia Michaels,JP Saxe,9930473,2020-04-03--2020-04-10,global,2kJwzbxV2ppxnQoYw4GLBZ
48,Ride It,Regard,9743216,2020-04-03--2020-04-10,global,2tnVG71enUj33Ic2nFN6kZ
49,Sigues Con El,Dímelo Flow,9680606,2020-04-03--2020-04-10,global,7sQKy5vlPQllr0k9IjYJv3
50,High Fashion (feat. Mustard),Roddy Ricch,9516601,2020-04-03--2020-04-10,global,07KXEDMj78x68D884wgVEm
51,lovely (with Khalid),Billie Eilish,9489732,2020-04-03--2020-04-10,global,0u2P5u6lvoDfwTYjAADbn4
52,Morado,J Balvin,9322947,2020-04-03--2020-04-10,global,35KmOEIUqAGn02t7n4qaIr
